State,Beer_Volume,Beer_Ethanol,Beer_PerCapita,Wine_Volume,Wine_Ethanol,Wine_PerCapita,Spirits_Volume,Spirits_Ethanol,Spirits_PerCapita,Total_Ethanol,Total_PerCapita,Decile,BAC_0.00_Number,BAC_0.00_Percent,BAC_0.01-0.07_Number,BAC_0.01-0.07_Percent,BAC_0.08+_Number,BAC_0.08+_Percent,BAC_0.01+_Number,BAC_0.01+_Percent,Total_Number,Total_Percent
Alabama,89404,4023,0.95,7766,1002,0.24,8355,3434,0.81,8459,2.0,9,666,67,45,5,276,28,321,32,988,100
Alaska,13174,593,0.99,2428,313,0.53,1871,769,1.29,1675,2.81,4,61,75,1,1,20,24,21,25,82,100
Arizona,140926,6342,1.03,18311,2362,0.38,14869,6111,0.99,14815,2.4,6,788,60,72,5,455,34,527,40,1320,100
Arkansas,51419,2314,0.92,4458,575,0.23,4812,1978,0.79,4867,1.93,10,440,69,48,7,150,23,197,31,637,100
California,797599,35892,1.1,156026,20127,0.62,92196,37893,1.16,93912,2.88,3,2849,63,263,6,1419,31,1683,37,4539,100
Colorado,123181,5543,1.13,18025,2325,0.47,17675,7264,1.48,15133,3.08,2,449,59,54,7,259,34,313,41,764,100
Connecticut,49434,2225,0.72,12624,1628,0.53,8592,3531,1.15,7384,2.4,6,212,58,25,7,129,35,154,42,366,100
Delaware,20096,904,1.05,4537,585,0.68,4890,2010,2.34,3499,4.07,1,101,63,10,6,51,32,61,37,162,100
District of Columbia,14260,642,1.13,4639,598,1.05,2660,1093,1.92,2333,4.1,1,20,63,2,6,10,31,12,37,32,100
Florida,439788,19790,1.04,83186,10731,0.57,62979,25884,1.36,56406,2.97,2,2459,69,151,4,932,26,1083,31,3548,100
Georgia,177568,7991,0.89,17391,2243,0.25,18204,7482,0.83,17716,1.96,9,1195,67,92,5,509,28,600,33,1796,100
Hawaii,33108,1490,1.23,5468,705,0.58,2598,1068,0.88,3263,2.7,5,70,60,10,8,36,31,46,40,116,100
Idaho,26009,1170,0.74,3582,462,0.29,3405,1399,0.88,3032,1.91,10,137,64,9,4,69,32,78,36,215,100
Illinois,233706,10517,1.0,39508,5097,0.48,23940,9839,0.93,25453,2.42,5,774,61,70,6,422,33,493,39,1268,100
Indiana,118649,5339,0.95,15725,2029,0.36,13750,5651,1.0,13019,2.31,7,637,65,54,6,285,29,339,35,976,100
Iowa,69630,3133,1.18,4459,575,0.22,6364,2615,0.99,6324,2.39,6,194,58,24,7,113,34,137,41,336,100
Kansas,56716,2552,1.06,2735,353,0.15,5812,2389,0.99,5294,2.2,8,249,61,25,6,136,33,161,39,410,100
Kentucky,76887,3460,0.92,6504,839,0.22,9656,3969,1.06,8268,2.21,8,542,73,25,3,176,24,201,27,744,100
Louisiana,103819,4672,1.24,9635,1243,0.33,11044,4539,1.2,10454,2.77,4,577,64,57,6,271,30,328,36,906,100
Maine,34069,1533,1.28,3948,509,0.42,3446,1416,1.18,3459,2.88,3,101,55,16,9,64,35,80,44,182,100
Maryland,72039,3242,0.63,13486,1740,0.34,14032,5767,1.12,10748,2.09,9,346,61,21,4,199,35,220,39,566,100
Massachusetts,106470,4791,0.8,26173,3376,0.57,21112,8677,1.45,16845,2.82,3,289,66,23,5,122,28,146,33,435,100
Michigan,175155,7882,0.93,25347,3270,0.39,21794,8957,1.06,20109,2.38,6,774,69,56,5,294,26,350,31,1124,100
Minnesota,111429,5014,1.06,14315,1847,0.39,16107,6620,1.4,13481,2.85,3,284,64,24,5,136,31,160,36,444,100
Mississippi,61535,2769,1.14,3651,471,0.19,5396,2218,0.91,5458,2.25,7,522,74,25,4,156,22,181,26,703,100
Missouri,119121,5360,1.04,14144,1825,0.35,16869,6933,1.35,14118,2.75,4,690,65,76,7,290,27,366,35,1057,100
Montana,33110,1490,1.58,3657,472,0.5,2614,1074,1.14,3036,3.21,2,132,62,12,5,70,33,82,38,215,100
Nebraska,38781,1745,1.09,2571,332,0.21,3373,1386,0.86,3463,2.16,8,155,63,21,9,68,28,89,37,244,100
Nevada,76663,3450,1.3,11787,1521,0.57,11526,4737,1.78,9708,3.66,1,246,59,30,7,141,34,171,41,417,100
New Hampshire,44620,2008,1.66,7503,968,0.8,5919,2433,2.02,5409,4.48,1,89,61,6,4,52,36,57,39,146,100
New Jersey,127405,5733,0.74,30442,3927,0.51,24170,9934,1.28,19594,2.53,5,473,69,33,5,180,26,212,31,689,100
New Mexico,46097,2074,1.17,4144,535,0.3,3943,1621,0.92,4230,2.39,6,292,63,26,6,148,32,174,37,466,100
New York,304862,13719,0.83,59270,7646,0.46,38755,15928,0.96,37293,2.24,7,723,61,76,6,383,32,459,39,1182,100
North Carolina,204646,9209,1.03,33824,4363,0.49,17942,7374,0.82,20946,2.34,7,1108,68,68,4,453,28,521,32,1631,100
North Dakota,19580,881,1.38,1507,194,0.31,2506,1030,1.62,2106,3.31,1,57,58,8,8,33,34,41,42,98,100
Ohio,233957,10528,1.07,23252,2999,0.31,17016,6994,0.71,20521,2.09,9,701,55,88,7,479,38,567,44,1274,100
Oklahoma,68696,3091,0.94,4624,596,0.18,6104,2509,0.76,6197,1.88,10,490,69,30,4,189,27,218,31,710,100
Oregon,97071,4368,1.21,15880,2049,0.57,8948,3677,1.02,10094,2.8,4,324,54,42,7,236,39,278,46,602,100
Pennsylvania,324136,14586,1.33,25427,3280,0.3,22159,9107,0.83,26973,2.46,5,778,66,52,4,345,29,397,34,1179,100
Rhode Island,15372,692,0.74,3756,485,0.52,3503,1440,1.53,2616,2.78,4,24,46,6,11,23,44,28,54,52,100
South Carolina,98673,4440,1.0,8193,1057,0.24,9631,3958,0.89,9455,2.13,9,561,51,62,6,471,43,532,49,1094,100
South Dakota,20708,932,1.26,1178,152,0.21,1465,602,0.81,1686,2.28,7,83,61,9,6,45,33,54,39,137,100
Tennessee,132406,5958,1.01,15299,1974,0.34,15242,6264,1.07,14196,2.41,5,879,67,72,5,361,28,433,33,1313,100
Texas,619845,27893,1.15,62441,8055,0.33,52319,21503,0.88,57451,2.36,6,2229,51,291,7,1881,43,2172,49,4408,100
Utah,29481,1327,0.5,3480,449,0.17,3688,1516,0.57,3291,1.23,10,230,72,17,5,73,23,89,28,319,100
Vermont,19251,866,1.54,3113,402,0.72,1096,450,0.8,1718,3.06,2,42,55,8,11,26,34,34,45,76,100
Virginia,144092,6484,0.89,28727,3706,0.51,13738,5646,0.78,15836,2.18,8,667,66,48,5,289,29,337,34,1006,100
Washington,122419,5509,0.84,24776,3196,0.49,14196,5834,0.89,14539,2.23,8,422,57,49,7,266,36,315,42,743,100
West Virginia,36797,1656,1.1,1231,159,0.11,2093,860,0.57,2675,1.77,10,189,71,19,7,58,22,77,29,266,100
Wisconsin,130758,5884,1.19,15090,1947,0.39,19143,7868,1.59,15698,3.17,2,397,66,34,6,172,28,206,34,604,100
Wyoming,12929,582,1.2,1073,138,0.29,1698,698,1.44,1418,2.93,3,87,65,8,6,39,29,47,35,134,100
